,VCL,MYH9,TLN1,TLN2,ACTN1,ACTN3,ACTN4,PLEC,VIM,FLNA,FLNB,FLNC,KRT18,GSN,LMNA,LMNB1,LMNB2,ACTG1,young_modulus_median_status
264,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
6317,45.66666666666666,532.0,145.33333333333334,8.333333333333334,290.0,25.0,298.0,260.6666666666667,1029.3333333333333,231.3333333333333,349.33333333333326,372.0,0.0,22.0,595.0,5.333333333333333,13.666666666666664,392.66666666666674,0
3364,29.66666666666667,317.0,41.0,3.333333333333333,918.0,53.66666666666666,827.6666666666665,1640.0,58.0,248.3333333333333,591.3333333333334,31.33333333333333,317.6666666666667,18.666666666666668,510.0,25.66666666666667,16.333333333333332,387.66666666666674,1
385,15.0,239.3333333333333,21.0,0.0,74.33333333333333,18.0,279.3333333333333,12.333333333333336,0.0,32.666666666666664,128.66666666666666,6.666666666666668,56.66666666666666,0.0,317.0,40.333333333333336,17.333333333333332,246.66666666666663,0
3773,27.33333333333333,318.0,39.0,2.6666666666666665,797.0,53.66666666666666,815.6666666666665,1954.333333333333,64.66666666666667,255.3333333333333,586.0,27.66666666666667,380.66666666666674,15.0,548.0,30.0,19.33333333333333,381.0,1
1943,70.66666666666667,540.3333333333334,113.66666666666669,11.666666666666664,456.66666666666674,37.66666666666666,557.6666666666666,762.3333333333335,198.66666666666663,216.66666666666663,779.3333333333335,84.33333333333333,42.333333333333336,29.0,558.6666666666666,14.0,11.333333333333336,351.66666666666674,1
231,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
2336,83.66666666666667,571.0,144.33333333333334,13.666666666666664,510.66666666666674,39.333333333333336,567.0,1173.3333333333333,249.0,260.3333333333333,881.3333333333335,100.33333333333331,52.66666666666666,34.0,659.0,17.333333333333332,16.666666666666668,428.66666666666674,1
5684,27.33333333333333,376.33333333333326,58.33333333333334,4.666666666666667,185.66666666666663,30.0,353.33333333333326,495.33333333333326,433.66666666666674,322.3333333333333,386.66666666666674,50.0,0.0,13.666666666666664,573.0,18.666666666666668,9.666666666666666,311.6666666666667,1
6634,48.0,487.33333333333326,145.66666666666666,11.666666666666664,279.3333333333333,26.33333333333333,268.3333333333333,378.66666666666674,962.6666666666664,217.66666666666663,378.66666666666674,225.0,0.0,19.666666666666668,591.0,11.333333333333336,21.33333333333333,357.0,0
701,12.0,128.0,73.66666666666667,4.666666666666667,233.0,27.33333333333333,328.0,194.0,241.66666666666663,118.66666666666669,46.66666666666666,10.666666666666666,19.33333333333333,138.66666666666666,806.0,31.33333333333333,14.0,215.66666666666663,1
5939,35.0,418.33333333333326,69.0,4.666666666666667,162.33333333333334,29.66666666666667,364.66666666666674,652.6666666666666,514.0,355.0,422.33333333333326,49.66666666666666,1.6666666666666667,12.0,649.6666666666666,23.33333333333333,10.666666666666666,438.66666666666674,0
5151,49.0,313.0,44.0,1.6666666666666667,135.33333333333334,22.0,241.0,288.0,4.333333333333333,120.66666666666669,762.3333333333335,16.333333333333332,231.0,137.0,521.6666666666666,32.666666666666664,9.0,373.33333333333326,0
272,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
4434,42.66666666666666,244.66666666666663,22.33333333333333,0.0,181.3333333333333,25.66666666666667,320.3333333333333,719.0,84.0,236.3333333333333,355.33333333333326,20.33333333333333,226.66666666666663,0.6666666666666666,424.66666666666674,17.0,7.0,417.0,1
1126,16.333333333333332,120.66666666666669,83.66666666666667,6.0,209.0,25.66666666666667,330.6666666666667,456.0,229.66666666666663,138.0,50.33333333333334,10.666666666666666,5.666666666666668,124.33333333333331,801.6666666666665,34.666666666666664,12.666666666666664,217.3333333333333,1
1395,80.0,557.3333333333334,164.33333333333334,17.333333333333332,659.0,44.0,648.6666666666666,1007.0,222.0,267.0,1185.0,105.66666666666669,59.0,51.33333333333334,566.3333333333334,19.33333333333333,20.33333333333333,392.66666666666674,1
277,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
1151,16.333333333333332,120.66666666666669,83.66666666666667,6.0,209.0,25.66666666666667,330.6666666666667,456.0,229.66666666666663,138.0,50.33333333333334,10.666666666666666,5.666666666666668,124.33333333333331,801.6666666666665,34.666666666666664,12.666666666666664,217.3333333333333,1
2383,83.66666666666667,571.0,144.33333333333334,13.666666666666664,510.66666666666674,39.333333333333336,567.0,1173.3333333333333,249.0,260.3333333333333,881.3333333333335,100.33333333333331,52.66666666666666,34.0,659.0,17.333333333333332,16.666666666666668,428.66666666666674,1
1019,10.666666666666666,109.0,75.33333333333333,6.0,156.0,24.33333333333333,312.3333333333333,357.66666666666674,232.3333333333333,128.33333333333334,41.0,11.333333333333336,0.0,128.66666666666666,759.6666666666665,28.33333333333333,8.666666666666666,209.0,1
